torso_start,torso_start_deg,torso_end,torso_end_deg,torso_speed,left_arm_start,left_arm_end,left_arm_speed,right_arm_start,right_arm_end,right_arm_speed
neutral,small,forward,small,slow,forward,forward,slow,forward,forward,slow
neutral,small,forward,small,slow,forward,forward,slow,forward,sides,slow
neutral,small,forward,small,slow,forward,forward,slow,forward,sides,fast
neutral,small,forward,small,slow,forward,forward,slow,forward,high,slow
neutral,small,forward,small,slow,forward,forward,slow,forward,high,fast
neutral,small,forward,small,slow,forward,forward,slow,sides,forward,slow
neutral,small,forward,small,slow,forward,forward,slow,sides,forward,fast
neutral,small,forward,small,slow,forward,forward,slow,sides,sides,slow
neutral,small,forward,small,slow,forward,forward,slow,sides,high,slow
neutral,small,forward,small,slow,forward,forward,slow,sides,high,fast
neutral,small,forward,small,slow,forward,sides,slow,forward,sides,slow
neutral,small,forward,small,slow,forward,sides,fast,forward,sides,fast
neutral,small,forward,small,slow,forward,high,slow,forward,high,slow
neutral,small,forward,small,slow,forward,high,fast,forward,high,fast
neutral,small,forward,small,slow,sides,forward,slow,sides,forward,slow
neutral,small,forward,small,slow,sides,forward,fast,sides,forward,fast
neutral,small,forward,small,slow,sides,sides,slow,forward,forward,slow
neutral,small,forward,small,slow,sides,sides,slow,forward,sides,slow
neutral,small,forward,small,slow,sides,sides,slow,forward,sides,fast
neutral,small,forward,small,slow,sides,sides,slow,forward,high,slow
neutral,small,forward,small,slow,sides,sides,slow,forward,high,fast
neutral,small,forward,small,slow,sides,sides,slow,sides,forward,slow
neutral,small,forward,small,slow,sides,sides,slow,sides,forward,fast
neutral,small,forward,small,slow,sides,sides,slow,sides,sides,slow
neutral,small,forward,small,slow,sides,sides,slow,sides,high,slow
neutral,small,forward,small,slow,sides,sides,slow,sides,high,fast
neutral,small,forward,small,slow,sides,high,slow,sides,high,slow
neutral,small,forward,small,slow,sides,high,fast,sides,high,fast
neutral,small,forward,small,fast,forward,forward,slow,forward,forward,slow
neutral,small,forward,small,fast,forward,forward,slow,forward,sides,slow
neutral,small,forward,small,fast,forward,forward,slow,forward,sides,fast
neutral,small,forward,small,fast,forward,forward,slow,forward,high,slow
neutral,small,forward,small,fast,forward,forward,slow,forward,high,fast
neutral,small,forward,small,fast,forward,forward,slow,sides,forward,slow
neutral,small,forward,small,fast,forward,forward,slow,sides,forward,fast
neutral,small,forward,small,fast,forward,forward,slow,sides,sides,slow
neutral,small,forward,small,fast,forward,forward,slow,sides,high,slow
neutral,small,forward,small,fast,forward,forward,slow,sides,high,fast
neutral,small,forward,small,fast,forward,sides,slow,forward,sides,slow
neutral,small,forward,small,fast,forward,sides,fast,forward,sides,fast
neutral,small,forward,small,fast,forward,high,slow,forward,high,slow
neutral,small,forward,small,fast,forward,high,fast,forward,high,fast
neutral,small,forward,small,fast,sides,forward,slow,sides,forward,slow
neutral,small,forward,small,fast,sides,forward,fast,sides,forward,fast
neutral,small,forward,small,fast,sides,sides,slow,forward,forward,slow
neutral,small,forward,small,fast,sides,sides,slow,forward,sides,slow
neutral,small,forward,small,fast,sides,sides,slow,forward,sides,fast
neutral,small,forward,small,fast,sides,sides,slow,forward,high,slow
neutral,small,forward,small,fast,sides,sides,slow,forward,high,fast
neutral,small,forward,small,fast,sides,sides,slow,sides,forward,slow
neutral,small,forward,small,fast,sides,sides,slow,sides,forward,fast
neutral,small,forward,small,fast,sides,sides,slow,sides,sides,slow
neutral,small,forward,small,fast,sides,sides,slow,sides,high,slow
neutral,small,forward,small,fast,sides,sides,slow,sides,high,fast
neutral,small,forward,small,fast,sides,high,slow,sides,high,slow
neutral,small,forward,small,fast,sides,high,fast,sides,high,fast
neutral,small,forward,large,slow,forward,forward,slow,forward,forward,slow
neutral,small,forward,large,slow,forward,forward,slow,forward,sides,slow
neutral,small,forward,large,slow,forward,forward,slow,forward,sides,fast
neutral,small,forward,large,slow,forward,forward,slow,forward,high,slow
neutral,small,forward,large,slow,forward,forward,slow,forward,high,fast
neutral,small,forward,large,slow,forward,forward,slow,sides,forward,slow
neutral,small,forward,large,slow,forward,forward,slow,sides,forward,fast
neutral,small,forward,large,slow,forward,forward,slow,sides,sides,slow
neutral,small,forward,large,slow,forward,forward,slow,sides,high,slow
neutral,small,forward,large,slow,forward,forward,slow,sides,high,fast
neutral,small,forward,large,slow,forward,sides,slow,forward,sides,slow
neutral,small,forward,large,slow,forward,sides,fast,forward,sides,fast
neutral,small,forward,large,slow,forward,high,slow,forward,high,slow
neutral,small,forward,large,slow,forward,high,fast,forward,high,fast
neutral,small,forward,large,slow,sides,forward,slow,sides,forward,slow
neutral,small,forward,large,slow,sides,forward,fast,sides,forward,fast
neutral,small,forward,large,slow,sides,sides,slow,forward,forward,slow
neutral,small,forward,large,slow,sides,sides,slow,forward,sides,slow
neutral,small,forward,large,slow,sides,sides,slow,forward,sides,fast
neutral,small,forward,large,slow,sides,sides,slow,forward,high,slow
neutral,small,forward,large,slow,sides,sides,slow,forward,high,fast
neutral,small,forward,large,slow,sides,sides,slow,sides,forward,slow
neutral,small,forward,large,slow,sides,sides,slow,sides,forward,fast
neutral,small,forward,large,slow,sides,sides,slow,sides,sides,slow
neutral,small,forward,large,slow,sides,sides,slow,sides,high,slow
neutral,small,forward,large,slow,sides,sides,slow,sides,high,fast
neutral,small,forward,large,slow,sides,high,slow,sides,high,slow
neutral,small,forward,large,slow,sides,high,fast,sides,high,fast
neutral,small,forward,large,fast,forward,forward,slow,forward,forward,slow
neutral,small,forward,large,fast,forward,forward,slow,forward,sides,slow
neutral,small,forward,large,fast,forward,forward,slow,forward,sides,fast
neutral,small,forward,large,fast,forward,forward,slow,forward,high,slow
neutral,small,forward,large,fast,forward,forward,slow,forward,high,fast
neutral,small,forward,large,fast,forward,forward,slow,sides,forward,slow
neutral,small,forward,large,fast,forward,forward,slow,sides,forward,fast
neutral,small,forward,large,fast,forward,forward,slow,sides,sides,slow
neutral,small,forward,large,fast,forward,forward,slow,sides,high,slow
neutral,small,forward,large,fast,forward,forward,slow,sides,high,fast
neutral,small,forward,large,fast,forward,sides,slow,forward,sides,slow
neutral,small,forward,large,fast,forward,sides,fast,forward,sides,fast
neutral,small,forward,large,fast,forward,high,slow,forward,high,slow
neutral,small,forward,large,fast,forward,high,fast,forward,high,fast
neutral,small,forward,large,fast,sides,forward,slow,sides,forward,slow
neutral,small,forward,large,fast,sides,forward,fast,sides,forward,fast
neutral,small,forward,large,fast,sides,sides,slow,forward,forward,slow
neutral,small,forward,large,fast,sides,sides,slow,forward,sides,slow
neutral,small,forward,large,fast,sides,sides,slow,forward,sides,fast
neutral,small,forward,large,fast,sides,sides,slow,forward,high,slow
neutral,small,forward,large,fast,sides,sides,slow,forward,high,fast
neutral,small,forward,large,fast,sides,sides,slow,sides,forward,slow
neutral,small,forward,large,fast,sides,sides,slow,sides,forward,fast
neutral,small,forward,large,fast,sides,sides,slow,sides,sides,slow
neutral,small,forward,large,fast,sides,sides,slow,sides,high,slow
neutral,small,forward,large,fast,sides,sides,slow,sides,high,fast
neutral,small,forward,large,fast,sides,high,slow,sides,high,slow
neutral,small,forward,large,fast,sides,high,fast,sides,high,fast
neutral,small,backward,small,slow,forward,forward,slow,forward,forward,slow
neutral,small,backward,small,slow,forward,forward,slow,forward,sides,slow
neutral,small,backward,small,slow,forward,forward,slow,forward,sides,fast
neutral,small,backward,small,slow,forward,forward,slow,forward,high,slow
neutral,small,backward,small,slow,forward,forward,slow,forward,high,fast
neutral,small,backward,small,slow,forward,forward,slow,sides,forward,slow
neutral,small,backward,small,slow,forward,forward,slow,sides,forward,fast
neutral,small,backward,small,slow,forward,forward,slow,sides,sides,slow
neutral,small,backward,small,slow,forward,forward,slow,sides,high,slow
neutral,small,backward,small,slow,forward,forward,slow,sides,high,fast
neutral,small,backward,small,slow,forward,sides,slow,forward,sides,slow
neutral,small,backward,small,slow,forward,sides,fast,forward,sides,fast
neutral,small,backward,small,slow,forward,high,slow,forward,high,slow
neutral,small,backward,small,slow,forward,high,fast,forward,high,fast
neutral,small,backward,small,slow,sides,forward,slow,sides,forward,slow
neutral,small,backward,small,slow,sides,forward,fast,sides,forward,fast
neutral,small,backward,small,slow,sides,sides,slow,forward,forward,slow
neutral,small,backward,small,slow,sides,sides,slow,forward,sides,slow
neutral,small,backward,small,slow,sides,sides,slow,forward,sides,fast
neutral,small,backward,small,slow,sides,sides,slow,forward,high,slow
neutral,small,backward,small,slow,sides,sides,slow,forward,high,fast
neutral,small,backward,small,slow,sides,sides,slow,sides,forward,slow
neutral,small,backward,small,slow,sides,sides,slow,sides,forward,fast
neutral,small,backward,small,slow,sides,sides,slow,sides,sides,slow
neutral,small,backward,small,slow,sides,sides,slow,sides,high,slow
neutral,small,backward,small,slow,sides,sides,slow,sides,high,fast
neutral,small,backward,small,slow,sides,high,slow,sides,high,slow
neutral,small,backward,small,slow,sides,high,fast,sides,high,fast
neutral,small,backward,small,fast,forward,forward,slow,forward,forward,slow
neutral,small,backward,small,fast,forward,forward,slow,forward,sides,slow
neutral,small,backward,small,fast,forward,forward,slow,forward,sides,fast
neutral,small,backward,small,fast,forward,forward,slow,forward,high,slow
neutral,small,backward,small,fast,forward,forward,slow,forward,high,fast
neutral,small,backward,small,fast,forward,forward,slow,sides,forward,slow
neutral,small,backward,small,fast,forward,forward,slow,sides,forward,fast
neutral,small,backward,small,fast,forward,forward,slow,sides,sides,slow
neutral,small,backward,small,fast,forward,forward,slow,sides,high,slow
neutral,small,backward,small,fast,forward,forward,slow,sides,high,fast
neutral,small,backward,small,fast,forward,sides,slow,forward,sides,slow
neutral,small,backward,small,fast,forward,sides,fast,forward,sides,fast
neutral,small,backward,small,fast,forward,high,slow,forward,high,slow
neutral,small,backward,small,fast,forward,high,fast,forward,high,fast
neutral,small,backward,small,fast,sides,forward,slow,sides,forward,slow
neutral,small,backward,small,fast,sides,forward,fast,sides,forward,fast
neutral,small,backward,small,fast,sides,sides,slow,forward,forward,slow
neutral,small,backward,small,fast,sides,sides,slow,forward,sides,slow
neutral,small,backward,small,fast,sides,sides,slow,forward,sides,fast
neutral,small,backward,small,fast,sides,sides,slow,forward,high,slow
neutral,small,backward,small,fast,sides,sides,slow,forward,high,fast
neutral,small,backward,small,fast,sides,sides,slow,sides,forward,slow
neutral,small,backward,small,fast,sides,sides,slow,sides,forward,fast
neutral,small,backward,small,fast,sides,sides,slow,sides,sides,slow
neutral,small,backward,small,fast,sides,sides,slow,sides,high,slow
neutral,small,backward,small,fast,sides,sides,slow,sides,high,fast
neutral,small,backward,small,fast,sides,high,slow,sides,high,slow
neutral,small,backward,small,fast,sides,high,fast,sides,high,fast
neutral,small,backward,large,slow,forward,forward,slow,forward,forward,slow
neutral,small,backward,large,slow,forward,forward,slow,forward,sides,slow
neutral,small,backward,large,slow,forward,forward,slow,forward,sides,fast
neutral,small,backward,large,slow,forward,forward,slow,forward,high,slow
neutral,small,backward,large,slow,forward,forward,slow,forward,high,fast
neutral,small,backward,large,slow,forward,forward,slow,sides,forward,slow
neutral,small,backward,large,slow,forward,forward,slow,sides,forward,fast
neutral,small,backward,large,slow,forward,forward,slow,sides,sides,slow
neutral,small,backward,large,slow,forward,forward,slow,sides,high,slow
neutral,small,backward,large,slow,forward,forward,slow,sides,high,fast
neutral,small,backward,large,slow,forward,sides,slow,forward,sides,slow
neutral,small,backward,large,slow,forward,sides,fast,forward,sides,fast
neutral,small,backward,large,slow,forward,high,slow,forward,high,slow
neutral,small,backward,large,slow,forward,high,fast,forward,high,fast
neutral,small,backward,large,slow,sides,forward,slow,sides,forward,slow
neutral,small,backward,large,slow,sides,forward,fast,sides,forward,fast
neutral,small,backward,large,slow,sides,sides,slow,forward,forward,slow
neutral,small,backward,large,slow,sides,sides,slow,forward,sides,slow
neutral,small,backward,large,slow,sides,sides,slow,forward,sides,fast
neutral,small,backward,large,slow,sides,sides,slow,forward,high,slow
neutral,small,backward,large,slow,sides,sides,slow,forward,high,fast
neutral,small,backward,large,slow,sides,sides,slow,sides,forward,slow
neutral,small,backward,large,slow,sides,sides,slow,sides,forward,fast
neutral,small,backward,large,slow,sides,sides,slow,sides,sides,slow
neutral,small,backward,large,slow,sides,sides,slow,sides,high,slow
neutral,small,backward,large,slow,sides,sides,slow,sides,high,fast
neutral,small,backward,large,slow,sides,high,slow,sides,high,slow
neutral,small,backward,large,slow,sides,high,fast,sides,high,fast
neutral,small,backward,large,fast,forward,forward,slow,forward,forward,slow
neutral,small,backward,large,fast,forward,forward,slow,forward,sides,slow
neutral,small,backward,large,fast,forward,forward,slow,forward,sides,fast
neutral,small,backward,large,fast,forward,forward,slow,forward,high,slow
neutral,small,backward,large,fast,forward,forward,slow,forward,high,fast
neutral,small,backward,large,fast,forward,forward,slow,sides,forward,slow
neutral,small,backward,large,fast,forward,forward,slow,sides,forward,fast
neutral,small,backward,large,fast,forward,forward,slow,sides,sides,slow
neutral,small,backward,large,fast,forward,forward,slow,sides,high,slow
neutral,small,backward,large,fast,forward,forward,slow,sides,high,fast
neutral,small,backward,large,fast,forward,sides,slow,forward,sides,slow
neutral,small,backward,large,fast,forward,sides,fast,forward,sides,fast
neutral,small,backward,large,fast,forward,high,slow,forward,high,slow
neutral,small,backward,large,fast,forward,high,fast,forward,high,fast
neutral,small,backward,large,fast,sides,forward,slow,sides,forward,slow
neutral,small,backward,large,fast,sides,forward,fast,sides,forward,fast
neutral,small,backward,large,fast,sides,sides,slow,forward,forward,slow
neutral,small,backward,large,fast,sides,sides,slow,forward,sides,slow
neutral,small,backward,large,fast,sides,sides,slow,forward,sides,fast
neutral,small,backward,large,fast,sides,sides,slow,forward,high,slow
neutral,small,backward,large,fast,sides,sides,slow,forward,high,fast
neutral,small,backward,large,fast,sides,sides,slow,sides,forward,slow
neutral,small,backward,large,fast,sides,sides,slow,sides,forward,fast
neutral,small,backward,large,fast,sides,sides,slow,sides,sides,slow
neutral,small,backward,large,fast,sides,sides,slow,sides,high,slow
neutral,small,backward,large,fast,sides,sides,slow,sides,high,fast
neutral,small,backward,large,fast,sides,high,slow,sides,high,slow
neutral,small,backward,large,fast,sides,high,fast,sides,high,fast
